n_sources,avg_adaptive,std_adaptive,avg_random,std_random,avg_maxdeg,std_maxdeg,avg_fvs,std_fvs,adaptive_lower_bound,adaptive_upper_bound
4,0.33,0.4910193478876367,0.42,0.6808817812219681,0.38,0.6128621378417825,0.32,0.46647615158762396,0.264,0.33
5,0.42,0.5861740355901138,0.62,0.924986486387774,0.49,0.7279423054061358,0.39,0.5271622141238881,0.336,0.42
6,0.54,0.6069596362197407,0.83,1.0300970828033638,0.77,0.9680392554023829,0.5,0.5385164807134504,0.43200000000000005,0.54
7,0.47,0.5736723803705387,0.69,0.966385016440135,0.77,1.056929515152264,0.46,0.5553377350765928,0.376,0.47
8,0.54,0.6232174580353153,0.79,1.116198907005378,0.73,0.8928045698807774,0.52,0.5741080037762931,0.43200000000000005,0.54
9,0.64,0.656048778674269,1.1,1.3453624047073711,0.96,1.1568923891183658,0.6,0.6,0.512,0.64
10,0.68,0.6764613810115105,1.05,1.259960316835415,1.01,1.1268983982595768,0.68,0.6764613810115105,0.544,0.68
11,0.84,0.7578918128598565,1.41,1.4566742944117603,1.18,1.194822162499508,0.79,0.667757440991862,0.672,0.84
12,0.76,0.749933330370107,1.27,1.384593803250614,1.19,1.453925720248459,0.73,0.7190966555338718,0.6080000000000001,0.76
13,0.76,0.8845337754998394,1.33,1.7207847047204945,1.28,1.5753094934012173,0.68,0.7332121111929345,0.6080000000000001,0.76
14,0.87,0.8444524853418337,1.4,1.6124515496597098,1.15,1.2278029157808674,0.81,0.7961783719745219,0.6960000000000001,0.87
15,0.8,0.812403840463596,1.6,1.783255450012701,1.25,1.4448183276799889,0.75,0.7533259586659682,0.6400000000000001,0.8
16,0.93,0.9083501527494781,1.59,1.8659849945806104,1.53,1.7461672313956642,0.85,0.7921489758877429,0.7440000000000001,0.93
17,1.04,0.9046546302318912,1.95,1.8887826767524103,1.73,1.495693818934878,0.98,0.8364209466530594,0.8320000000000001,1.04
18,1.23,0.957653381970742,2.21,2.0894736179239017,2.22,1.825267103741258,1.11,0.8819863944528851,0.984,1.23
19,1.25,1.116915395184434,2.18,2.178898804442281,2.12,2.2551274908527894,1.08,0.9558242516278815,1.0,1.25
20,1.19,0.976678043164686,2.41,2.1637698583721883,2.14,2.034797287200865,1.14,0.9167333309092671,0.952,1.19
21,1.22,1.0057832768544126,2.44,2.405493712317702,2.14,1.9027348738066479,1.08,0.8795453370918408,0.976,1.22
22,1.2,1.0295630140987,2.42,2.250244431167423,1.98,1.726151789385858,1.14,0.9275774900244184,0.96,1.2
23,1.06,0.8811356308764275,2.04,1.9794948850653795,1.86,1.8111874557869487,1.02,0.8121576201698781,0.8480000000000001,1.06
24,1.34,1.0974515934655158,2.65,2.4794152536434875,2.55,2.3973944189473704,1.19,0.9454628496138808,1.072,1.34
25,1.4,1.0583005244258363,2.77,2.792328777203716,2.39,2.3060572412670073,1.34,1.0219589032832974,1.1199999999999999,1.4
26,1.22,1.1539497389401323,2.62,2.948830276567304,1.93,2.2011587857308252,1.13,1.055035544424926,0.976,1.22
27,1.17,0.9803570778037969,2.4,2.453568829277059,2.46,2.351254984045754,1.1,0.8774964387392122,0.9359999999999999,1.17
28,1.39,1.207435298473587,2.91,2.800339265160563,2.48,2.2824548188299367,1.25,1.0805091392487154,1.1119999999999999,1.39
29,1.51,1.004937809021036,3.38,2.9009653565666724,3.24,2.5223798286538845,1.42,0.8852118390532291,1.2080000000000002,1.51
30,1.46,1.0809255293497328,3.21,2.5270338343599597,2.9,2.65141471671257,1.3,0.8544003745317531,1.168,1.46
31,1.42,1.0215674231297707,3.08,2.667133292507144,2.8,2.4372115213907883,1.25,0.8874119674649424,1.136,1.42
32,1.66,1.4086873322352267,3.29,3.017598382820352,3.16,2.813254343282882,1.46,1.178303865732435,1.328,1.66
33,1.69,1.2304064369142418,3.77,3.3462068077152676,3.22,2.7697653330201097,1.48,1.0146920715172656,1.352,1.69
34,1.67,1.3195074838741918,3.77,3.1932898396481333,3.36,3.223414338864925,1.48,1.108873302050329,1.336,1.67
35,1.74,1.3009227494359532,4.16,3.345803341501111,3.76,3.026945655276949,1.52,1.0906878563548785,1.3920000000000001,1.74
36,1.94,1.5087743370033837,4.56,3.998299638596387,3.78,3.1323473626020473,1.72,1.2967652061957862,1.552,1.94
37,1.69,1.3978197308666094,4.02,3.7814811912794175,3.35,2.991237202229205,1.46,1.117318217877074,1.352,1.69
38,1.73,1.3405595846511262,4.42,4.099219437893025,3.52,3.0215227948834014,1.57,1.1769027147559818,1.3840000000000001,1.73
39,2.11,1.5613775968675867,4.78,3.8589635914322904,4.5,3.5902646142032486,1.83,1.2494398745037714,1.688,2.11
40,1.75,1.4026760139105539,4.08,3.5768142249773054,3.64,3.021655175561897,1.58,1.2424169992397882,1.4000000000000001,1.75
