n_sources,avg_adaptive,std_adaptive,avg_random,std_random,avg_maxdeg,std_maxdeg,avg_fvs,std_fvs,adaptive_lower_bound,adaptive_upper_bound
4,0.5166666666666667,0.56248456768954,0.6166666666666667,0.7323857514239942,0.65,0.7488880646220324,0.0,0.0,0.4133333333333334,0.5166666666666667
5,0.85,0.7488880646220323,1.0666666666666667,1.0466878978738388,1.0666666666666667,0.946337971105226,0.0,0.0,0.68,0.85
6,0.9666666666666667,0.8158158833680278,1.3166666666666667,1.2178076841421044,1.2,1.16619037896906,0.0,0.0,0.7733333333333334,0.9666666666666667
7,0.9666666666666667,0.835995746932297,1.4333333333333333,1.3211947455070943,1.15,1.061838029079765,0.0,0.0,0.7733333333333334,0.9666666666666667
8,1.4333333333333333,1.1883695646650592,2.1,1.6901676445449625,1.85,1.5365003525327723,0.0,0.0,1.1466666666666667,1.4333333333333333
9,1.7333333333333334,1.0934146311237816,2.7,1.6563010998406458,2.4166666666666665,1.635967264002825,0.0,0.0,1.3866666666666667,1.7333333333333334
10,2.0,1.1547005383792515,2.9,1.8321208111548395,2.7666666666666666,1.5423647068345698,0.0,0.0,1.6,2.0
11,1.8666666666666667,1.2840906856172147,2.716666666666667,1.8082373246402759,2.65,1.8692690193406265,0.0,0.0,1.4933333333333334,1.8666666666666667
12,2.5,1.4433756729740645,3.683333333333333,2.194627277896839,3.3666666666666667,1.991370270832513,0.0,0.0,2.0,2.5
13,2.5166666666666666,1.4199960876315432,4.2,2.286190426597633,3.5833333333333335,2.099933861392359,0.0,0.0,2.013333333333333,2.5166666666666666
14,2.7333333333333334,1.579732748143038,4.25,2.6995369973386176,3.7666666666666666,2.124199195513976,0.0,0.0,2.186666666666667,2.7333333333333334
15,3.1333333333333333,1.8208667044996885,5.166666666666667,2.8645340904858427,4.933333333333334,2.4689178916188275,0.0,0.0,2.506666666666667,3.1333333333333333
16,3.8666666666666667,2.3127665011602203,6.283333333333333,3.5075711761210995,5.2,2.862399925470467,0.0,0.0,3.0933333333333337,3.8666666666666667
17,3.7666666666666666,2.5322366047078266,5.833333333333333,3.711094477673968,5.116666666666666,3.3170854007027852,0.0,0.0,3.0133333333333336,3.7666666666666666
18,4.333333333333333,2.573367875415838,6.9,3.505709628591621,6.033333333333333,3.2247308242532253,0.0,0.0,3.466666666666667,4.333333333333333
19,4.633333333333334,2.7384099198054495,7.966666666666667,4.289392601393453,6.283333333333333,3.5217972053421187,0.0,0.0,3.706666666666667,4.633333333333334
20,5.283333333333333,2.640023148046665,8.316666666666666,3.8187767093083034,7.2,3.0375428666385376,0.0,0.0,4.226666666666667,5.283333333333333
21,5.3,3.0946189857019015,8.533333333333333,4.010264607506869,7.066666666666666,3.6508750853581513,0.0,0.0,4.24,5.3
22,5.816666666666666,3.4760689802642806,9.1,4.6929024423413415,7.666666666666667,4.225583457412189,0.0,0.0,4.653333333333333,5.816666666666666
23,5.816666666666666,3.3540605573278226,9.05,5.110202213872428,8.2,4.057092555020159,0.0,0.0,4.653333333333333,5.816666666666666
24,5.3,3.508560958569767,9.116666666666667,5.360633254466201,7.433333333333334,4.436089368902399,0.0,0.0,4.24,5.3
25,6.75,4.056373585687919,10.85,6.095968613217536,8.55,5.008076809847601,0.0,0.0,5.4,6.75
26,7.8,4.024094100954068,12.183333333333334,5.417538391393477,9.633333333333333,4.494317399660252,0.0,0.0,6.24,7.8
27,8.2,4.6180804092898455,13.166666666666666,6.351290332592968,10.2,4.884669896727925,0.0,0.0,6.56,8.2
